include,text,sql,base_id,sql_id
,show me the share Pre-Primary students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Pre-Primary' and school_owner = ""Mission/religious group"" group by year, district",3,229
,what is the share students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year",3,3
,what is the share students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,41
,what is the share students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, district",3,75
,what is the share students attending religious schools by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.year = b.year and a.school_level = b.school_level) as 'value', 2 as queryType from census as b where school_owner = ""Mission/religious group"" group by year, school_level",3,104
,what is the share students attending religious schools in Koinadugu district by school level,"select school_level as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year, school_level",3,133
,what is the share Primary students attending religious schools,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and school_owner = ""Mission/religious group"" group by year",3,162
,what is the share Primary students attending religious schools in Koinadugu district,"select 'total_enrolled' as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Primary' and a.district=""Koinadugu"" and  a.year = b.year) as 'value', 2 as queryType from census as b where school_level = 'Primary' and b.district=""Koinadugu"" and  school_owner = ""Mission/religious group"" group by year",3,197
,what is the share Pre-Primary students attending religious schools by district,"select district as 'group', year as 'key', 100*sum(total_enrolled)/(select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year and a.district = b.district) as 'value', 2 as queryType from census as b where school_level = 'Pre-Primary' and school_owner = ""Mission/religious group"" group by year, district",3,229
,how many students attend religious schools,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year",4,4
,how many students attend religious schools in Kenema district,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year",4,42
,how many students attend religious schools by district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year, district",4,76
,how many students attend religious schools by school level,"select school_level as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year, school_level",4,105
,how many students attend religious schools in Kenema district by school level,"select school_level as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year, school_level",4,134
,how many Junior Secondary students attend religious schools,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and school_owner = ""Mission/religious group"" group by year",4,163
,how many Junior Secondary students attend religious schools in Kenema district,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year",4,198
,how many Secondary students attend religious schools by district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Mission/religious group"" group by year, district",4,230
,how many students attend religious schools in each district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year, district",4,76
,how many Secondary students attend religious schools in each district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Mission/religious group"" group by year, district",4,230
,show me the how many students attend religious schools,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year",4,4
,show me the how many students attend religious schools in Kenema district,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year",4,42
,show me the how many students attend religious schools by district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year, district",4,76
,show me the how many students attend religious schools by school level,"select school_level as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_owner = ""Mission/religious group"" group by year, school_level",4,105
,show me the how many students attend religious schools in Kenema district by school level,"select school_level as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year, school_level",4,134
,show me the how many Junior Secondary students attend religious schools,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and school_owner = ""Mission/religious group"" group by year",4,163
,show me the how many Junior Secondary students attend religious schools in Kenema district,"select 'total_enrolled' as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level = 'Junior Secondary' and district=""Kenema"" and  school_owner = ""Mission/religious group"" group by year",4,198
,show me the how many Secondary students attend religious schools by district,"select district as 'group', year as 'key', sum(total_enrolled) as 'value', 1 as queryType from census where school_level in ('Juior Secondary', 'Senior Secondary') and school_owner = ""Mission/religious group"" group by year, district",4,230
,share students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,5
,share Pre-Primary students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,164
1,percentage students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,5
,percentage Pre-Primary students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,164
,show me the share students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,5
,show me the share Pre-Primary students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,164
,what is the share students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,5
,what is the share Pre-Primary students in each district,"select district as 'group', year as 'key', 100*sum(total_enrolled) / (select sum(cast(total_enrolled as real)) from census as a where school_level = 'Pre-Primary' and a.year = b.year) as value, 2 as queryType from census as b group by year, district",5,164
,how many students are there in each district,"select district as 'group', year as 'key', sum(total_enrolled) as value, 1 as queryType from census as b group by year, district",6,6
,how many Secondary students are there in each district,"select district as 'group', year as 'key', sum(total_enrolled) as value, 1 as queryType from census as b where school_level in ('Juior Secondary', 'Senior Secondary')  group by year, district",6,165
,show me the how many students are there in each district,"select district as 'group', year as 'key', sum(total_enrolled) as value, 1 as queryType from census as b group by year, district",6,6
